generatorauthor,aiauthor,travelleddistance
Harish Swaminathan Gopal,Marco Landau,0.20890604490900158
Harish Swaminathan Gopal,Reference AI,437.07789689850506
Sebastian Vogl,Reference AI,0.0006949131850430297
Sebastian Vogl,Marco Landau,7.415366507875488
Reference Generator,Vsevolod Tymofyeyev,18.303543457835037
Reference Generator,Marco Landau,28.302208389772083
Sebastian Asen,Reference AI,283.22033178937767
Sebastian Vogl,Vsevolod Tymofyeyev,30.41055460211175
Sebastian Vogl,Vsevolod Tymofyeyev,5.848333401319716
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6940053094111232
Sebastian Asen,Reference AI,275.40148548583215
Sebastian Vogl,Vsevolod Tymofyeyev,5.6402919176120044e-05
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.8394207809147702
Sebastian Vogl,Vsevolod Tymofyeyev,30.262215087789937
Sebastian Vogl,Reference AI,40.331431917090434
Reference Generator,Vsevolod Tymofyeyev,10.46889004513525
Harish Swaminathan Gopal,Marco Landau,0.20916890513361325
Harish Swaminathan Gopal,Reference AI,318.8905486351657
Harish Swaminathan Gopal,Reference AI,507.2758595656644
Sebastian Asen,Reference AI,267.96736657484155
Sebastian Vogl,Marco Landau,7.463480434973922
Sebastian Vogl,Reference AI,40.04846456542886
Sebastian Asen,Vsevolod Tymofyeyev,27.844934842625733
Reference Generator,Marco Landau,133.04199765423547
Reference Generator,Vsevolod Tymofyeyev,13.692260708995454
Harish Swaminathan Gopal,Reference AI,424.64172657328766
Harish Swaminathan Gopal,Reference AI,116.7595685179002
Sebastian Vogl,Vsevolod Tymofyeyev,10.413152571202954
Sebastian Vogl,Marco Landau,5.253596553354135e-05
Sebastian Vogl,Marco Landau,7.4339894936316995
Sebastian Asen,Reference AI,293.8737225928563
Harish Swaminathan Gopal,Marco Landau,0.2093101649615894
Sebastian Asen,Marco Landau,9.641077495417122
Sebastian Vogl,Vsevolod Tymofyeyev,89.03914129297465
Reference Generator,Vsevolod Tymofyeyev,20.27432850495776
Reference Generator,Vsevolod Tymofyeyev,10.715401400963044
Sebastian Vogl,Reference AI,7.301643986674609e-05
Sebastian Vogl,Vsevolod Tymofyeyev,6.000108312036878
Harish Swaminathan Gopal,Marco Landau,0.27253712657245743
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6937508162131416
Sebastian Asen,Marco Landau,25.049219718320018
Sebastian Vogl,Vsevolod Tymofyeyev,10.758424697586385
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.839341288658737
Reference Generator,Marco Landau,32.21018056394322
Reference Generator,Marco Landau,11.1988996405019
Sebastian Vogl,Reference AI,30.063298088528356
Reference Generator,Vsevolod Tymofyeyev,16.19065130765649
Reference Generator,Vsevolod Tymofyeyev,17.091131675875133
Sebastian Vogl,Marco Landau,8.793380153670741
Sebastian Asen,Reference AI,100.09350405648445
Harish Swaminathan Gopal,Reference AI,380.3675393204853
Reference Generator,Vsevolod Tymofyeyev,12.373067491804035
Reference Generator,Marco Landau,94.47846195162936
Sebastian Asen,Vsevolod Tymofyeyev,1.8380516825794448
Sebastian Vogl,Reference AI,40.33101786954922
Reference Generator,Reference AI,468.84969869047075
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.4203865244037375
Sebastian Vogl,Reference AI,40.651641043941744
Sebastian Vogl,Reference AI,0.00046736760082169166
Sebastian Asen,Reference AI,256.28236826875025
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.9890760039597926
Sebastian Vogl,Vsevolod Tymofyeyev,1.0001056258447758
Sebastian Asen,Marco Landau,0.27052767430980235
Sebastian Asen,Marco Landau,0.2710649544204888
Reference Generator,Vsevolod Tymofyeyev,17.602469981536334
Harish Swaminathan Gopal,Marco Landau,0.2092383702789215
Reference Generator,Marco Landau,28.33376217584099
Reference Generator,Vsevolod Tymofyeyev,13.916247734403457
Harish Swaminathan Gopal,Marco Landau,0.2087635707572463
Reference Generator,Marco Landau,59.4176457103328
Sebastian Asen,Reference AI,273.1631973984291
Reference Generator,Reference AI,456.4505770817396
Sebastian Asen,Vsevolod Tymofyeyev,12.965778750144636
Sebastian Vogl,Marco Landau,4.992367199139236
Sebastian Asen,Reference AI,226.53242272858057
Reference Generator,Vsevolod Tymofyeyev,15.126005560694662
Sebastian Asen,Vsevolod Tymofyeyev,12.96674142896092
Harish Swaminathan Gopal,Marco Landau,0.27271097051352794
Harish Swaminathan Gopal,Marco Landau,0.20874872779437334
Sebastian Asen,Vsevolod Tymofyeyev,2.3021416385562743
Sebastian Vogl,Reference AI,40.210105896916815
Sebastian Asen,Marco Landau,9.898450702471903
Sebastian Vogl,Vsevolod Tymofyeyev,7.898322018479851
Sebastian Vogl,Vsevolod Tymofyeyev,30.410567289807204
Sebastian Vogl,Marco Landau,5.5105764390909485e-05
Sebastian Asen,Marco Landau,0.2708410360496317
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.693980677758522
Harish Swaminathan Gopal,Marco Landau,9.647833673115896
Sebastian Vogl,Reference AI,40.331406339283
Sebastian Asen,Marco Landau,9.649022235854241
Sebastian Asen,Vsevolod Tymofyeyev,12.96578241187162
Reference Generator,Reference AI,458.82464166523914
Sebastian Vogl,Vsevolod Tymofyeyev,6.000105148542587
Sebastian Asen,Vsevolod Tymofyeyev,12.966535180063586
Harish Swaminathan Gopal,Reference AI,74.34872006185127
Sebastian Asen,Reference AI,288.2973920713932
Harish Swaminathan Gopal,Reference AI,33.00293731692313
Sebastian Vogl,Marco Landau,7.24006155142785
Sebastian Asen,Vsevolod Tymofyeyev,27.53134551969916
Harish Swaminathan Gopal,Marco Landau,9.648623930248455
Sebastian Vogl,Vsevolod Tymofyeyev,10.403944721487983
Sebastian Vogl,Reference AI,30.802632807270356
Sebastian Asen,Vsevolod Tymofyeyev,12.964630097411144
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.8389653941414525
Sebastian Vogl,Reference AI,40.04856006136407
Sebastian Vogl,Vsevolod Tymofyeyev,1.0219961692297446
Sebastian Vogl,Vsevolod Tymofyeyev,4.992147368822247e-05
Harish Swaminathan Gopal,Reference AI,41.356941348903746
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6942775609634813
Sebastian Vogl,Marco Landau,5.333718302762148e-05
Harish Swaminathan Gopal,Marco Landau,9.68002034026058
Reference Generator,Vsevolod Tymofyeyev,15.06902303813167
Reference Generator,Reference AI,527.2201674831563
Sebastian Asen,Marco Landau,9.939866041446681
Reference Generator,Marco Landau,120.74411086214536
Sebastian Vogl,Reference AI,30.26221923358505
Sebastian Vogl,Marco Landau,4.96743796376194
Sebastian Asen,Vsevolod Tymofyeyev,12.963145214525436
Sebastian Vogl,Marco Landau,4.971431010113257
Reference Generator,Vsevolod Tymofyeyev,29.436630683619107
Sebastian Vogl,Vsevolod Tymofyeyev,10.34616323336605
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.555179179314572
Sebastian Vogl,Vsevolod Tymofyeyev,9.056597257536126
Reference Generator,Vsevolod Tymofyeyev,13.44323795647813
Sebastian Vogl,Vsevolod Tymofyeyev,30.410564443567555
Reference Generator,Vsevolod Tymofyeyev,19.325036223239696
Sebastian Vogl,Vsevolod Tymofyeyev,30.26222335306578
Sebastian Vogl,Marco Landau,7.449657011747437
Sebastian Vogl,Vsevolod Tymofyeyev,30.063298828313336
Sebastian Asen,Reference AI,285.19371660571585
Sebastian Vogl,Vsevolod Tymofyeyev,30.063297475201598
Sebastian Vogl,Vsevolod Tymofyeyev,5.964010194622277
Sebastian Asen,Vsevolod Tymofyeyev,27.638199954469034
Sebastian Vogl,Reference AI,0.00045923127213723765
Sebastian Asen,Marco Landau,9.892221068188237
Sebastian Asen,Marco Landau,9.887229726880989
Harish Swaminathan Gopal,Marco Landau,0.15402603312683336
Reference Generator,Vsevolod Tymofyeyev,116.59720763502744
Sebastian Asen,Reference AI,297.12993846216887
Reference Generator,Vsevolod Tymofyeyev,10.707250179663818
