author,initialcartolaneangle,travelleddistance
Reference Generator,-0.06693203002214432,469.98685744483623
Sebastian Vogl,-0.0017427521524950862,7.428242230134887
Sebastian Asen,-0.00460704043507576,9.887229726880989
Sebastian Vogl,9.864423751831055,6.584008803724266e-05
Reference Generator,-0.0009035684051923454,11.603219521659064
Sebastian Vogl,-0.001482770312577486,7.262634864758605e-05
Sebastian Vogl,9.864371299743652,6.000090898339571
Sebastian Asen,0.002148527419194579,27.844934842625733
Sebastian Vogl,-0.0013090019347146153,2.0001081045339273
Sebastian Asen,7.693663064856082e-05,197.02070781767776
Harish Swaminathan Gopal,-0.0015603776555508375,9.392385072016369
Reference Generator,-0.0008762538782320917,21.999353061041944
Reference Generator,0.0025950465351343155,77.92822500540488
Sebastian Asen,-0.002681345446035266,1.9882701594070433
Harish Swaminathan Gopal,-0.0012111809337511659,0.20881901845990838
Sebastian Vogl,-0.0013958878116682172,30.262221564614727
Sebastian Asen,-0.00088026950834319,9.393803073117645
Sebastian Asen,0.002687905915081501,9.891998585866787
Sebastian Vogl,-0.0016134645557031035,5.6402919176120044e-05
Harish Swaminathan Gopal,-0.0014112360076978803,507.2758595656644
Sebastian Asen,0.0025448163505643606,9.89580646769051
Reference Generator,-0.09458529204130173,527.2201674831563
Reference Generator,-0.003751756390556693,57.79946631065037
Sebastian Asen,-0.0010733031667768955,27.845088885006696
Harish Swaminathan Gopal,-0.0015111888060346246,1.6937508162131416
Harish Swaminathan Gopal,-0.0016812190879136324,0.20874872779437334
Sebastian Asen,-0.0008268019882962108,2.1443862233837567
Sebastian Vogl,-180.00164794921875,0.0006949131850430297
Harish Swaminathan Gopal,-0.0012383779976516962,9.43297207974606
Reference Generator,-0.0020451911259442568,18.823763868772232
Sebastian Asen,0.001988549018278718,325.83767833078207
Sebastian Vogl,-0.0015913784736767411,30.41079113006983
Reference Generator,0.0029175409581512213,12.373067491804035
Sebastian Vogl,-0.001259257667697966,4.938584251764556
Sebastian Asen,-0.0019782616291195154,12.966541687479213
Reference Generator,-0.0020182516891509295,13.916247734403457
Sebastian Vogl,-0.0013910129200667143,5.983948689959245
Harish Swaminathan Gopal,-0.0013574620243161917,142.15382835160602
Harish Swaminathan Gopal,-0.0015299980295822024,1.693693712172215
Reference Generator,0.0006063278415240347,19.52113202829277
Reference Generator,-0.0035276201087981462,18.169378339351265
Harish Swaminathan Gopal,-0.0014993944205343723,9.647833673115896
Harish Swaminathan Gopal,-0.0012375934747979045,35.42082056125055
Sebastian Vogl,9.864418029785156,6.000108312036878
Sebastian Vogl,-0.00158682931214571,41.60253835175
Harish Swaminathan Gopal,-0.0015863762237131596,436.45735975211926
Sebastian Asen,-0.0013071612920612097,0.27153825222461486
Sebastian Vogl,0.0015710570150986314,40.652137263923024
Sebastian Vogl,-0.001661570044234395,7.453251218874229
Sebastian Asen,-0.005672949831932783,12.96476491350159
Harish Swaminathan Gopal,-0.0013758160639554262,1.6941738146233447
Harish Swaminathan Gopal,-0.0013806638307869434,1.839341288658737
Sebastian Asen,0.0015770792961120605,97.54904912284388
Sebastian Vogl,0.0011734941508620977,40.68390072575943
Sebastian Asen,-0.0008325327653437853,9.901630505927539
Sebastian Vogl,-0.001544272992759943,61.925414490840424
Sebastian Vogl,-0.0012146987719461322,5.827987150365579
Sebastian Asen,0.0029261461459100246,267.96736657484155
Harish Swaminathan Gopal,-0.0013663641875609756,9.685351680337204
Reference Generator,-0.0008185500628314912,85.72988618877686
Reference Generator,-0.004243850242346525,9.09345087799948
Reference Generator,-0.002074221847578883,12.728369322369886
Sebastian Asen,0.0019904342480003834,27.53134551969916
Harish Swaminathan Gopal,-0.001200739061459899,1.8390827767365245
Harish Swaminathan Gopal,-0.0012978339800611138,74.32366869690959
Sebastian Asen,-0.00248211738653481,9.886609760137398
Sebastian Vogl,9.864381790161133,6.000112023816301
Reference Generator,-0.0003196198958903551,14.248794047887737
Harish Swaminathan Gopal,-0.0012428492773324251,0.20919521908684618
Sebastian Asen,0.0016800613375380635,283.9648344421912
Sebastian Asen,-0.0024482207372784615,1.8383524342242854
Reference Generator,-0.0037852181121706963,17.46148280160969
Sebastian Asen,-0.0012907302007079124,290.435678615418
Sebastian Vogl,-0.0013842141488566995,5.1398779262251655e-05
Reference Generator,-0.0002709074760787189,15.603697230252916
Sebastian Asen,-0.0038371847476810217,12.965500876819327
Harish Swaminathan Gopal,-0.0011791298165917397,27.2046657451528
Harish Swaminathan Gopal,-0.0012249329593032598,224.4176891042342
Sebastian Vogl,-0.0014786631800234318,30.26221923358505
Harish Swaminathan Gopal,-0.0012548394734039903,224.62032118420083
Sebastian Asen,-0.003369321348145604,9.895217441401256
Sebastian Asen,-0.003296040929853916,9.890194720194527
Reference Generator,0.00019071970018558204,13.608529906354942
Sebastian Asen,0.0013536205515265465,12.965778750144636
Harish Swaminathan Gopal,-0.0015814731596037745,326.7473340272812
Sebastian Asen,-0.00253677018918097,9.644098066449013
Sebastian Vogl,-0.0013269562041386962,8.788222955611557
Sebastian Asen,0.0026315287686884403,9.939866041446681
Sebastian Vogl,-0.0015901393489912152,30.41055460211175
Sebastian Asen,-0.0036284825764596462,13.241461240969947
Sebastian Vogl,-0.001470854040235281,2.0001034631776657
Sebastian Asen,0.0031313197687268257,127.56731067033077
Sebastian Asen,-0.00555989658460021,9.889638347311463
Sebastian Vogl,-180.0013885498047,7.119987263990973e-05
Reference Generator,-0.006309580057859421,12.687218807458617
Harish Swaminathan Gopal,-0.0011347102699801326,0.20940283594748235
