round,numnodes,result,status,started,finished
1,1,SUCCEEDED,FINISHED,2019-11-01 11:04:52,2019-11-01 11:08:21
2,1,SUCCEEDED,FINISHED,2019-11-01 11:11:48,2019-11-01 11:16:06
2,1,SUCCEEDED,FINISHED,2019-11-01 11:12:39,2019-11-01 11:16:08
3,1,SUCCEEDED,FINISHED,2019-11-01 11:21:29,2019-11-01 11:26:36
3,1,SUCCEEDED,FINISHED,2019-11-01 11:22:19,2019-11-01 11:26:37
3,1,SUCCEEDED,FINISHED,2019-11-01 11:23:11,2019-11-01 11:26:40
4,1,SUCCEEDED,FINISHED,2019-11-01 11:42:22,2019-11-01 11:48:17
4,1,SUCCEEDED,FINISHED,2019-11-01 11:44:56,2019-11-01 11:48:24
4,1,SUCCEEDED,FINISHED,2019-11-01 11:43:12,2019-11-01 11:48:27
4,1,SUCCEEDED,FINISHED,2019-11-01 11:44:03,2019-11-01 11:48:28
5,1,SUCCEEDED,FINISHED,2019-11-01 12:44:36,2019-11-01 12:49:51
5,1,SUCCEEDED,FINISHED,2019-11-01 12:45:29,2019-11-01 12:49:54
5,1,SUCCEEDED,FINISHED,2019-11-01 12:42:55,2019-11-01 12:49:40
5,1,SUCCEEDED,FINISHED,2019-11-01 12:43:45,2019-11-01 12:49:45
5,1,SUCCEEDED,FINISHED,2019-11-01 12:46:22,2019-11-01 12:49:51:0001
6,1,SUCCEEDED,FINISHED,2019-11-01 12:54:55,2019-11-01 13:00:14
6,1,SUCCEEDED,FINISHED,2019-11-01 12:56:42,2019-11-01 13:00:16
6,1,SUCCEEDED,FINISHED,2019-11-01 12:55:48,2019-11-01 13:00:18
6,1,SUCCEEDED,FINISHED,2019-11-01 12:54:03,2019-11-01 13:00:19
6,1,SUCCEEDED,FINISHED,2019-11-01 12:52:21,2019-11-01 13:00:07
6,1,SUCCEEDED,FINISHED,2019-11-01 12:53:11,2019-11-01 13:00:11
7,1,SUCCEEDED,FINISHED,2019-11-01 13:03:45,2019-11-01 13:11:34
7,1,SUCCEEDED,FINISHED,2019-11-01 13:04:37,2019-11-01 13:11:37
7,1,SUCCEEDED,FINISHED,2019-11-01 13:05:29,2019-11-01 13:11:39
7,1,SUCCEEDED,FINISHED,2019-11-01 13:07:18,2019-11-01 13:11:43
7,1,SUCCEEDED,FINISHED,2019-11-01 13:08:15,2019-11-01 13:11:43:0001
7,1,SUCCEEDED,FINISHED,2019-11-01 13:06:23,2019-11-01 13:11:49
7,1,SUCCEEDED,FINISHED,2019-11-01 13:02:54,2019-11-01 13:11:33
8,1,SUCCEEDED,FINISHED,2019-11-01 13:17:13,2019-11-01 13:24:18
8,1,SUCCEEDED,FINISHED,2019-11-01 13:16:20,2019-11-01 13:23:21
8,1,SUCCEEDED,FINISHED,2019-11-01 13:14:38,2019-11-01 13:23:29
8,1,SUCCEEDED,FINISHED,2019-11-01 13:19:02,2019-11-01 13:24:21
8,1,SUCCEEDED,FINISHED,2019-11-01 13:19:59,2019-11-01 13:24:24
8,1,SUCCEEDED,FINISHED,2019-11-01 13:18:07,2019-11-01 13:24:22
8,1,SUCCEEDED,FINISHED,2019-11-01 13:20:56,2019-11-01 13:24:26
8,1,SUCCEEDED,FINISHED,2019-11-01 13:15:28,2019-11-01 13:23:17
9,1,SUCCEEDED,FINISHED,2019-11-01 13:36:20,2019-11-01 13:46:00
9,1,SUCCEEDED,FINISHED,2019-11-01 13:37:11,2019-11-01 13:46:04
9,1,SUCCEEDED,FINISHED,2019-11-01 13:38:04,2019-11-01 13:46:06
9,1,SUCCEEDED,FINISHED,2019-11-01 13:39:52,2019-11-01 13:46:07
9,1,SUCCEEDED,FINISHED,2019-11-01 13:41:45,2019-11-01 13:46:16
9,1,SUCCEEDED,FINISHED,2019-11-01 13:38:58,2019-11-01 13:46:08
9,1,SUCCEEDED,FINISHED,2019-11-01 13:40:48,2019-11-01 13:46:21
9,1,UNKNOWN,TIMEOUT,2019-11-01 13:35:29,2019-11-01 13:45:31
9,1,SUCCEEDED,FINISHED,2019-11-01 13:42:44,2019-11-01 13:46:07:0001
10,1,SUCCEEDED,FINISHED,2019-11-01 13:50:39,2019-11-01 14:00:31
10,1,SUCCEEDED,FINISHED,2019-11-01 13:52:24,2019-11-01 14:01:19
10,1,SUCCEEDED,FINISHED,2019-11-01 13:53:17,2019-11-01 14:01:28
10,1,SUCCEEDED,FINISHED,2019-11-01 13:51:31,2019-11-01 14:01:23
10,1,SUCCEEDED,FINISHED,2019-11-01 13:55:09,2019-11-01 14:01:29
10,1,SUCCEEDED,FINISHED,2019-11-01 13:56:07,2019-11-01 14:01:38
10,1,SUCCEEDED,FINISHED,2019-11-01 13:54:13,2019-11-01 14:01:34
10,1,SUCCEEDED,FINISHED,2019-11-01 13:49:48,2019-11-01 13:59:28
10,1,SUCCEEDED,FINISHED,2019-11-01 13:58:06,2019-11-01 14:01:35
10,1,SUCCEEDED,FINISHED,2019-11-01 13:57:06,2019-11-01 14:01:41
